Order,DES Station ID,DES Alias ID,Station Name,Town,Station Type,Latitude DecDeg,Longitude DecDeg,Description,Waterbody#,Sample Date,EPA Designation,Depth,Date Filtered sample brought EPA,Date Unfiltered sample brought EPA,Filtered-DES,Unfiltered-DES?
81,Ayers Lake SS#2,does not exist in EMD,,BARRINGTON,LAKE/POND,43.252955,-71.040945,,22,8/18/2014,SS#2,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
82,ISLDERD,BIG ISLAND POND,BIG ISLAND POND-DEEP SPOT,DERRY,LAKE/POND,42.866,-71.211389,DEEP SPOT,23,8/18/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
83,ISLDERPC,,BIG ISLAND POND-PERCH (CAMP) COVE,DERRY,LAKE/POND,42.880583,-71.197175,,23,8/18/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
84,ISLDERJC,,BIG ISLAND POND-JOHNSON COVE,DERRY,LAKE/POND,42.859475,-71.203786,,23,8/18/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
85,,does not exist in EMD,Lees Pond WL#1,MOLTONBOURO,LAKE/POND,43.7380667,-71.3964667,DEEP SPOT,24,8/18/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
86,,does not exist in EMD,Lees Pond WL#2,MOLTONBOURO,LAKE/POND,43.7386667,-71.3956667,,24,8/18/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
87,,does not exist in EMD,Lees Pond WL#3,MOLTONBOURO,LAKE/POND,43.73895,-71.39975,,24,8/18/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
88,,does not exist in EMD,Lees Pond SS#1,MOLTONBOURO,LAKE/POND,43.7366833, -71.4010500,Beach sample,24,8/18/2014,SS#1,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
89,,does not exist in EMD,Lees Pond SS#2,MOLTONBOURO,LAKE/POND,43.7371333,-71.3943667,Beach sample,24,8/18/2014,SS#2,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
90,,,Mascoma Lake- Dalton,ENFIELD,LAKE/POND,43.608667,-72.123167,,25,8/19/2014,WL#3,3.0,?,,,?
91,,,Mascoma Lake- Dam End,ENFIELD,LAKE/POND,43.648167,-72.178533,,25,8/19/2014,WL#2,3.0,?,,,?
92,,,Mascoma Lake- Dartmouth Sail Club,ENFIELD,LAKE/POND,43.639417,-72.134333,Beach sample,25,8/19/2014,SS#2,1.0,?,,,?
93,,,Mascoma Lake- Shakoma,ENFIELD,LAKE/POND,43.631433,-72.157883,Beach sample,25,8/19/2014,SS#1,1.0,?,,,?
94,MASENF1D,MAS01PL,MASCOMA LAKE-STATION 1 DEEP SPOT,ENFIELD,LAKE/POND,43.627889,-72.1503,DEEP SPOT,25,8/19/2014,WL#1,3.0,?,,,?
95,THOJAFD,,THORNDIKE POND-DEEP SPOT,JAFFREY,LAKE/POND,42.859778,-72.0553,DEEP SPOT,26,8/20/2014,WL#2,3.0,,10-Sep,11/5/2014,11/5/2014
96,THOJAFNW,,THORNDIKE POND-NORTH WEST INLET,JAFFREY,LAKE/POND,42.865583,-72.0573,Beach sample,26,8/20/2014,SS#2,1.0,,10-Sep,11/5/2014,11/5/2014
97,THOJAFSW,,THORNDIKE POND-SOUTH WEST INLET,JAFFREY,LAKE/POND,42.8504,-72.0597,Beach sample,26,8/20/2014,SS#1,1.0,,10-Sep,11/5/2014,11/5/2014
98,,does not exist in EMD,Thorndike Pond WL#1,JAFFREY,LAKE/POND,42.86461,-72.055078,,26,8/20/2014,WL#1,3.0,,10-Sep,11/5/2014,11/5/2014
99,,does not exist in EMD,Thorndike Pond WL#3,JAFFREY,LAKE/POND,42.850453,-72.056494,,26,8/20/2014,WL#3,3.0,,10-Sep,11/5/2014,11/5/2014
100,WICMERD,,WICWAS LAKE-DEEP SPOT,MEREDITH,LAKE/POND,43.620083,-71.5519,DEEP SPOT,27,8/24/2014,WL#1,3.0,,10-Sep,,Freezer
101,WICMEREC,,WICWAS LAKE-EAST COVE,MEREDITH,LAKE/POND,43.609694,-71.5485,,27,8/24/2014,WL#2,3.0,,10-Sep,,Freezer
102,WICMERLR,,WICWAS LAKE-LAUNCH RAMP,MEREDITH,LAKE/POND,43.604747,-71.551283,,27,8/24/2014,SS#1,1.0,,10-Sep,,Freezer
103,WICMER2,WICMERWCS,WICWAS LAKE-WEST COVE,MEREDITH,LAKE/POND,43.609778,-71.5525,,27,8/24/2014,WL#3,3.0,,10-Sep,,Freezer
104,WICMERD,,WICWAS LAKE-DEEP SPOT,MEREDITH,LAKE/POND,43.620083,-71.5519,DEEP SPOT,27,9/28/2014,WL#1,3.0,X,X,Freezer,Freezer
105,WICMEREC,,WICWAS LAKE-EAST COVE,MEREDITH,LAKE/POND,43.609694,-71.5485,,27,9/28/2014,WL#2,3.0,X,X,Freezer,Freezer
106,WICMERLR,,WICWAS LAKE-LAUNCH RAMP,MEREDITH,LAKE/POND,43.604747,-71.551283,Sampled at private dock. ,27,9/28/2014,SS#1,1.0,X,X,Freezer,Freezer
107,WICMER2,WICMERWCS,WICWAS LAKE-WEST COVE,MEREDITH,LAKE/POND,43.609778,-71.5525,,27,9/28/2014,WL#3,3.0,X,X,Freezer,Freezer
108,Wicwas Lake SS#2,does not exist in EMD,,MEREDITH,LAKE/POND,,,,27,9/28/2014,SS#2,0.5,X,X,Freezer,Freezer
109,SKAHARD,,LAKE SKATUTAKEE-DEEP SPOT,HARRISVILLE,LAKE/POND,42.936528,-72.070194,DEEP SPOT,28,8/24/2014,WL#1,3.0,,20-Nov,Came in Frozen,
110,SKAHARSP,,LAKE SKATUTAKEE-SPRING,HARRISVILLE,LAKE/POND,42.934898,-72.076798,,28,8/24/2014,SS#1,1.0,,20-Nov,Came in Frozen,
111,DUBDUBDLC,,DUBLIN POND-DUBLIN LAKE CLUB,DUBLIN,LAKE/POND,42.904269,-72.072383,,29,8/25/2014,GRAB,0.0,10-Sep,10-Sep,Freezer,Freezer
112,Sand Pond SS#1,,,,LAKE/POND,,,,30,8/26/2014,SS#1,1.0,?,,,?
113,Sand Pond SS#2,,,,LAKE/POND,,,,30,8/26/2014,SS#2,1.0,?,,,?
114,Sand Pond WL#2,,,,LAKE/POND,,,,30,8/26/2014,WL#2,3.0,?,,,?
115,SANMLWD,,,,LAKE/POND,,,,30,8/26/2014,WL#1,3.0,?,,,?
116,CLEHOPD,,CLEMENT POND-DEEP SPOT,HOPKINTON,LAKE/POND,43.2165,-71.766389,,31,8/26/2014,WL#1,3.0,10-Sep,10-Sep,Freezer,Freezer
117,,does not exist in EMD,Clement Pond WL#2,HOPKINTON,LAKE/POND,43.215482,-71.76939,,31,8/26/2014,WL#2,3.0,10-Sep,10-Sep,Freezer,Freezer
118,,does not exist in EMD,Clement Pond WL#3,HOPKINTON,LAKE/POND,43.220439,-71.767008,,31,8/26/2014,WL#3,3.0,10-Sep,10-Sep,Freezer,Freezer
119,SEBBEDB,,SEBBINS POND-BACK PD INLET,BEDFORD,LAKE/POND,42.928583,-71.4805,,32,8/27/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
120,SEBBEDD,,SEBBINS POND-DEEP SPOT,BEDFORD,LAKE/POND,42.928083,-71.478278,,32,8/27/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
121,SEBBEDO,,SEBBINS POND-OUTLET,BEDFORD,LAKE/POND,42.925583,-71.478083,,32,8/27/2014,SS#1,1.0,10-Sep,10-Sep,?,?
122,SEBBED2,,SEBBINS POND-SITE 2,BEDFORD,LAKE/POND,42.928328,-71.476917,,32,8/27/2014,SS#2,1.0,10-Sep,10-Sep,?,?
123,,does not exist in EMD,Sebbins Pond WL#3,BEDFORD,LAKE/POND,,,,32,8/27/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
124,GRASTDD,,GRANITE LAKE-DEEP SPOT,STODDARD,LAKE/POND,43.020972,-72.141361,DEEP SPOT,33,9/7/2014,WL#1,3.0,10-Sep,10-Sep,11/6/2014,11/6/2014
125,,does not exist in EMD,Granite Lake WL#2,STODDARD,LAKE/POND,43.02371,-72.144856,,33,9/7/2014,WL#2,3,10-Sep,10-Sep,11/6/2014,11/6/2014
126,,does not exist in EMD,Granite Lake WL#3,STODDARD,LAKE/POND,43.023977,-72.135286,,33,9/7/2014,WL#3,3,10-Sep,10-Sep,11/6/2014,11/6/2014
127,Lake Kanesatka- Beach,,,MOLTONBOURO,LAKE/POND,43.727584,-71.45834,Beach sample,34,9/8/2014,GRAB,0.0,10-Sep,10-Sep,11/6/2014,11/6/2014
128,Lake Kanesatka- Dock,,,MOLTONBOURO,LAKE/POND,43.727553,-71.458361,Sampled at private dock. ,34,9/8/2014,GRAB,0.0,10-Sep,10-Sep,11/6/2014,11/6/2014
129,NUBNELD,,NUBANUSIT LAKE-DEEP SPOT,HANCOCK,LAKE/POND,42.986258,-72.057692,DEEP SPOT,35,9/10/2014,WL#1,3.0,20-Nov,X,11/5/2014,11/5/2014
130,NUBNELH,,NUBANUSIT LAKE-HANCOCK LANDING,HANCOCK,LAKE/POND,42.996,-72.0467,,35,9/10/2014,SS#1,1.0,,,11/5/2014,11/5/2014
131,NUBNELO,,NUBANUSIT LAKE-OUTLET IN STREAM,NELSON,LAKE/POND,42.973889,-72.086,,35,9/10/2014,SS#2,1.0,20-Nov,X,11/5/2014,11/5/2014
132,HUNSAND,,HUNKINS POND-DEEP SPOT,SANBORNTON,LAKE/POND,43.504194,-71.5595,DEEP SPOT,36,9/12/2014,WL#1,3.0,20-Nov,X,Freezer,Freezer
133,HUNSANN,,HUNKINS POND-NORTH END,SANBORNTON,LAKE/POND,43.504181,-71.561542,Beach Sample,36,9/12/2014,SS#1,1.0,20-Nov,X,Freezer,Freezer
134,SHOSDN-GEN,,SHOWELL POND-GENERIC,SANDOWN,LAKE/POND,42.908,-71.176194,Sampled at dock. ,37,9/25/2014,GRAB,0.0,20-Nov,X,Freezer,Freezer
135,TOWCND-GEN,,TOWER HILL POND-GENERIC,CANDIA,LAKE/POND,43.04,-71.371778,,38,9/29/2014,GRAB,0.0,,,,
136,BCHLEGFRKLF,8819005,WEBSTER LAKE LAGACE TB-LEFT,FRANKLIN,LAKE/POND,43.458833,-71.679558,,39,9/30/2014,GRAB,0.0,X,X,11/5/2014,11/5/2014
137,SUNSUN1D,SUNSUN200D,SUNAPEE LAKE-200 STN 1 DEEP SPOT,NEW LONDON,LAKE/POND,43.406083,-72.042600,200 STN 1 DEEP SPOT,1,9/15/2014,WL#1,3.0,20-Nov,,Came in Frozen,
